player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Baylen Brown,46182,G,TEXAS TECH,12,100.0,1,315,75.5,78.8,75.8,4,23,700,100.0,100.0,98.1,5,27,0,1051,0,722,151,1051,743,743,0,176,308,2
Tony Morales,45597,C,TEXAS TECH,12,100.0,0,315,62.6,71.2,56.9,4,25,693,100.0,100.0,97.9,8,29,0,1039,1039,0,0,1039,736,736,0,0,303,0
Tyler Bowling,46047,G,TULSA,12,100.0,0,320,79.5,90.5,75.7,0,3,436,100.0,100.0,99.4,1,4,1,1032,0,1029,2,1032,462,462,0,1,570,0
Chandler Miller,26727,C,TULSA,12,100.0,1,320,74.4,75.3,75.1,1,3,436,100.0,100.0,99.1,8,6,2,1032,1032,0,0,1032,462,462,0,0,570,0
Andre Dillard,29250,T,WASH STATE,12,100.0,0,341,81.7,93.1,76.2,3,14,665,100.0,100.0,97.7,13,24,7,996,0,0,996,996,707,707,0,0,289,0
Logan Dietz,46303,T,BOWL GREEN,12,99.9,0,122,72.1,82.4,64.3,7,5,487,100.0,99.8,97.5,3,18,6,988,0,0,987,989,517,518,0,0,471,1
Tim McAuliffe,45569,C,BOWL GREEN,12,100.0,1,122,67.2,81.6,61.4,3,7,486,100.0,100.0,98.8,7,11,1,986,986,0,0,986,517,517,0,0,469,0
Alex Joss,46147,G,BALL ST,12,100.0,0,117,70.4,62.4,75.1,7,20,492,100.0,100.0,96.4,4,31,4,985,0,887,6,985,521,521,0,92,464,0
Pat Maloney,25010,G,BALL ST,12,100.0,0,117,60.9,72.8,56.2,2,13,492,100.0,100.0,98.3,2,16,1,985,0,0,1,985,521,521,984,0,464,0
Vinnie Palazeti,22487,C,BALL ST,12,100.0,0,117,73.7,77.8,70.6,5,6,492,100.0,100.0,98.7,4,12,1,985,901,83,1,985,521,521,0,0,464,0
Terence Steele,39461,T,TEXAS TECH,12,99.9,1,315,54.8,62.6,53.2,6,37,669,99.9,99.9,96.5,14,45,2,984,0,0,825,985,708,709,0,153,276,6
Brandon Smith,46856,T,E CAROLINA,12,100.0,0,156,73.6,76.0,65.8,5,20,616,100.0,100.0,97.5,0,28,3,984,0,0,0,984,643,643,0,982,341,2
Eduardo Middleton,46652,G,WASH STATE,12,100.0,0,341,77.1,90.5,72.1,3,7,655,100.0,100.0,98.9,3,12,2,981,0,0,0,981,696,696,938,43,285,0
Drake Miller,25278,T,BALL ST,12,99.9,0,117,67.5,77.0,61.9,4,25,491,99.8,99.8,97.0,6,29,0,979,0,0,979,980,520,521,0,0,459,0
Ryan Hunter,46904,T,BOWL GREEN,12,99.9,2,122,64.1,68.2,63.4,8,22,483,100.0,99.8,96.1,7,34,4,972,1,0,0,973,513,514,2,969,459,0
J.T. Boyd,45582,C,E CAROLINA,12,100.0,1,156,61.9,69.2,57.8,2,20,615,100.0,100.0,98.2,3,22,0,972,972,0,0,972,642,642,0,0,330,0
Aaron Roberts,46102,G,SYRACUSE,12,100.0,2,304,57.7,73.3,50.8,4,12,605,100.0,100.0,98.3,7,18,2,972,0,971,0,972,635,635,0,0,337,0
Levon Myers,46358,T,N ILLINOIS,12,100.0,0,254,68.3,82.5,60.1,3,8,430,100.0,100.0,98.3,6,13,2,971,0,0,970,971,445,445,0,0,526,0
Kyle Fuller,11998,C,BAYLOR,12,100.0,1,118,66.8,84.1,68.2,2,3,465,100.0,100.0,99.2,15,6,1,967,967,0,0,967,491,491,0,0,476,0
