player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Devery Hamilton,40636,T,DUKE,11,100.0,0,154,73.4,62.3,77.0,3,19,442,100.0,100.0,96.8,2,25,3,830,0,0,0,830,468,468,0,830,362,0
Ivory Scott,98699,G,ARK STATE,11,100.0,1,113,65.2,72.2,62.2,5,11,501,100.0,100.0,98.4,4,16,0,825,0,420,0,825,531,531,405,0,294,0
Wyatt Luebke,56526,T,ARK STATE,11,100.0,0,113,43.4,29.5,52.8,7,32,501,100.0,100.0,94.9,2,45,6,818,0,0,7,818,531,531,1,810,287,0
Bryce Hargrove,41946,G,PITTSBURGH,11,100.0,0,268,67.8,82.1,62.2,2,7,479,100.0,100.0,98.6,5,11,2,817,0,815,0,817,512,512,0,0,305,0
Reece Jordan,55554,C,TEXAS ST,12,100.0,0,314,56.4,54.0,55.5,3,15,465,100.0,100.0,97.6,2,20,2,817,816,0,0,817,504,504,0,0,313,0
Jacob Monk,98058,G,DUKE,11,100.0,0,154,68.1,63.8,69.3,5,6,440,100.0,100.0,98.3,5,13,2,817,0,0,0,817,464,464,817,0,353,0
Dalton Cooper,98482,T,TEXAS ST,12,99.9,0,314,69.3,73.1,64.5,6,14,464,99.8,99.8,97.6,4,21,1,816,0,0,790,817,503,504,0,0,313,9
Casey Holman,77315,T,DUKE,11,100.0,0,154,58.8,48.9,60.8,8,22,426,100.0,100.0,95.3,3,35,5,810,0,0,809,810,451,451,0,0,359,0
Russell Baker,121957,T,TEXAS ST,12,100.0,0,314,62.6,71.2,59.7,1,16,461,100.0,100.0,97.5,6,20,3,808,0,34,0,808,500,500,122,621,308,14
Jimmy Morrissey,41626,C,PITTSBURGH,11,100.0,1,268,69.0,64.3,69.7,4,12,475,100.0,100.0,97.7,1,19,3,807,711,0,0,807,508,508,96,0,299,0
Grant Gibson,57005,C,NC STATE,11,100.0,2,248,77.9,80.7,79.3,2,10,411,100.0,100.0,98.3,7,13,1,806,806,0,0,806,444,444,0,0,362,0
Grant Betts,81870,G,TROY,11,100.0,1,318,71.8,81.4,67.8,0,11,493,100.0,100.0,98.9,2,11,0,805,0,804,0,805,513,513,0,1,292,0
Dylan Bradshaw,41566,C,TROY,11,100.0,0,318,70.9,76.8,68.7,0,10,493,100.0,100.0,98.8,3,11,1,805,805,0,0,805,513,513,0,0,292,0
Jake Andrews,81868,G,TROY,11,100.0,0,318,79.7,84.6,79.7,2,4,493,100.0,100.0,99.2,3,7,1,804,0,0,0,804,513,513,804,0,291,0
Ryan Neuzil,41123,G,APP STATE,11,100.0,0,108,86.4,86.9,85.7,0,4,337,100.0,100.0,98.5,2,7,3,802,10,792,0,802,360,360,0,0,442,0
Liam Shanahan,108697,C,LSU,10,100.0,0,211,68.2,75.6,65.3,1,9,473,100.0,100.0,98.7,4,11,1,801,801,0,0,801,489,489,0,0,312,0
Joe Sculthorpe,41846,G,NC STATE,11,100.0,0,248,69.5,48.1,75.6,2,21,404,100.0,100.0,96.4,2,26,3,797,0,453,0,797,437,437,344,0,360,0
Baer Hunter,44512,G,APP STATE,11,100.0,0,108,76.7,80.1,75.9,2,6,337,100.0,100.0,98.5,2,9,1,794,0,0,0,794,360,360,792,2,434,0
Noah Hannon,58480,C,APP STATE,11,100.0,1,108,77.8,76.7,78.9,0,4,337,100.0,100.0,99.1,11,5,1,794,792,0,0,794,360,360,2,0,434,0
