player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Christian Pedersen,144171,TE,FIU,2,100.0,0,166,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Simon Samarzich,72395,LS,WASH STATE,3,100.0,0,341,60.0,70.5,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,2,0,0,3,2,2,0,0,1,0
Zyion Claville,162954,WR,LA TECH,1,100.0,0,208,65.7,,72.4,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Cedric Hawkins,172192,HB,ARK STATE,4,10.0,0,113,69.7,,59.8,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,30,0,9,0,0,3,0
CJ Rogers,144508,QB,TEXAS ST,1,75.0,0,314,60.2,,60.0,0,0,0,,,,0,0,0,3,0,0,0,4,0,0,0,0,3,0
Yutaka Mahe,146393,T,UCLA,1,100.0,0,324,58.1,,56.7,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0
Sheridan Wilson,157336,C,TEXAS TECH,1,100.0,0,315,60.0,70.6,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,3,0,0,3,1,1,0,0,2,0
Clyde Curry,172188,WR,ARK STATE,1,30.0,0,113,54.5,,60.2,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,10,0,7,0,0,3,0
Ke'Travion Hargrove,146841,HB,MEMPHIS,2,16.7,0,218,73.7,68.1,60.0,0,0,1,33.3,25.0,100.0,0,0,0,3,0,0,0,18,1,4,0,0,2,0
Jay Haynes,170010,HB,CLEMSON,2,17.6,0,140,68.4,9.6,60.0,0,0,1,11.1,11.1,100.0,0,0,0,3,0,0,0,17,1,9,0,0,2,0
Jake Norris,170018,G,CLEMSON,1,100.0,0,140,54.4,,54.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,3,0,3,0
Zack Owens,170020,G,CLEMSON,1,100.0,0,140,65.2,70.6,62.6,0,0,1,100.0,100.0,100.0,0,0,0,3,0,3,0,3,1,1,0,0,2,0
Jeshari Houston,156197,WR,TULSA,2,100.0,0,320,60.1,,60.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Ben Brittain,125262,QB,AIR FORCE,2,60.0,0,101,68.3,,60.0,0,0,0,,,,0,0,0,3,0,0,0,5,0,0,0,0,3,0
Anthony Minella,122490,TE,GA TECH,2,60.0,0,176,57.4,,60.3,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,5
