player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jahsen Wint,42914,S,MARSHALL,9,3,0,83.3,0,0,214,72.4,72.7,82.0,53.9,72.9,67.9,0,1,0,9,11.1,1,0,0,80.6,5,0,22,4,68,126,9,0,0,9,0,1,117,7,51,90,1,5,6,1,0,20,36,4.0
Mason White,43872,CB,TCU,3,0,0,50.0,0,0,305,56.2,58.5,77.0,,65.3,73.5,0,0,0,14,0.0,0,0,0,72.9,1,0,7,32,25,49,4,0,0,4,0,0,45,0,24,6,0,1,2,0,0,14,5,14.0
Chaz Ah You,51989,LB,BYU,1,0,0,100.0,0,0,128,42.8,45.8,69.3,59.1,69.5,73.1,0,0,0,20,0.0,0,0,0,118.8,1,0,7,0,3,8,1,0,0,1,0,0,7,1,4,0,1,1,1,0,0,20,18,20.0
Sinjun Astani,52257,DI,USC,3,0,0,,0,0,326,,68.7,73.4,58.4,70.9,23.1,0,2,0,,100.0,1,0,0,0.0,0,0,0,0,0,16,16,2,10,0,4,0,0,8,8,0,0,0,0,2,0,0,0,
Malik Vann,52555,ED,CINCINNATI,9,3,1,,0,0,138,,80.0,81.7,69.4,83.8,80.9,2,11,0,,0.0,0,0,0,0.0,0,2,2,0,0,240,237,0,16,47,174,0,3,145,95,0,6,5,0,15,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,9,7,0,,0,0,268,60.0,56.1,49.2,53.6,58.6,80.1,0,3,0,,0.0,0,0,1,0.0,0,0,1,0,0,252,251,13,234,2,2,0,1,101,151,0,7,8,0,3,0,0,0,
Xavier Peters,52819,ED,FAU,6,1,0,,0,1,165,61.1,56.5,80.9,58.4,53.0,78.4,1,2,0,,0.0,0,0,0,0.0,0,1,0,0,2,112,112,0,4,90,18,0,0,69,41,0,5,4,0,4,0,0,0,
Zaid Hamdan,52925,DI,TULSA,9,3,0,,1,0,320,61.0,59.0,81.4,60.3,56.2,26.0,2,3,0,,38.5,5,0,1,0.0,0,0,1,0,1,213,212,7,148,24,33,0,1,115,97,0,3,5,0,5,0,0,0,
Cole Pearce,52970,LB,BALL ST,10,9,0,82.2,0,0,117,56.0,64.9,23.5,71.8,70.5,59.4,5,8,0,32,15.3,13,2,2,113.5,37,3,585,0,325,637,14,0,0,14,0,0,623,51,261,38,45,63,45,16,2,346,232,9.4
James Camden,53418,LB,CINCINNATI,3,1,0,,0,0,138,,47.1,90.4,,46.7,77.4,0,0,0,,0.0,0,0,0,0.0,0,0,8,0,0,11,0,0,0,0,0,0,11,0,11,2,1,2,0,0,0,0,0,
Deshawn Pace,53549,S,CINCINNATI,8,14,0,62.5,0,1,138,67.4,69.9,49.8,68.0,73.0,75.0,4,3,0,22,10.0,6,3,1,121.2,20,0,95,5,222,457,89,0,0,89,0,3,368,36,199,264,19,40,32,7,4,211,73,10.6
Eric Phillips,53572,ED,CINCINNATI,9,1,0,,0,1,138,45.2,63.3,28.6,69.3,62.3,57.3,1,20,0,,7.7,1,0,2,0.0,0,2,5,0,1,318,313,0,3,90,220,0,5,178,139,0,9,11,0,23,0,0,0,
Ryan Mullaney,53704,ED,CINCINNATI,5,1,0,,0,0,138,,77.3,72.8,59.6,76.2,73.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,17,17,0,0,4,13,0,0,2,15,0,1,1,0,0,0,0,0,
Jaheim Thomas,54193,LB,ARKANSAS,9,24,0,76.5,0,0,111,54.9,73.1,85.3,80.8,75.7,63.0,2,8,0,17,14.8,13,1,1,112.4,13,5,381,4,180,453,19,0,0,19,0,0,434,52,221,48,37,51,17,15,1,110,72,8.5
Jordan Strachan,55198,ED,S CAROLINA,9,6,0,50.0,1,1,289,73.6,56.3,26.7,61.2,50.8,45.4,6,8,0,8,29.2,7,1,3,60.4,1,3,4,0,16,400,393,0,2,384,7,0,7,209,175,3,11,11,2,17,0,8,10,8.0
Zachary Ford,55353,S,TOLEDO,10,10,0,61.2,0,0,316,63.6,61.2,21.1,71.7,55.0,66.3,1,4,0,28,13.7,7,2,2,91.5,30,0,175,36,336,636,33,0,0,33,0,34,603,22,278,357,12,34,49,5,2,291,141,9.7
Korey Hernandez,55796,CB,E MICHIGAN,9,1,0,50.0,0,0,160,50.6,55.3,0.0,60.0,82.6,59.6,0,1,0,15,16.7,2,0,2,61.8,6,0,6,15,97,169,3,0,0,3,0,1,166,1,71,144,3,9,12,1,0,52,14,8.7
Deangelo Gibbs,55917,CB,S CAROLINA,1,0,0,,0,0,289,61.2,67.6,68.8,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,2,4,0,0,0,0,0,0,4,0,2,3,0,0,0,0,0,0,0,
Tavyn Jackson,56164,CB,COAST CAR,1,0,0,,0,0,141,,60.0,64.7,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
Myles Jones,56220,CB,DUKE,4,0,0,46.7,0,1,154,90.6,90.3,80.7,,69.5,66.4,0,0,2,16,11.1,1,2,0,44.4,7,0,10,174,124,189,1,0,0,1,0,3,188,0,65,1,2,8,15,0,1,75,30,10.7
John Davis,56230,CB,N TEXAS,8,5,0,68.8,0,0,251,68.1,64.8,82.4,59.6,51.1,48.9,0,0,1,40,25.0,5,1,0,116.9,11,0,30,251,134,290,8,0,0,8,0,0,282,2,154,1,2,10,16,0,2,169,54,15.4
