player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dru Prox,23093,LB,UTSA,3,1,0,66.7,0,0,331,57.4,66.6,76.2,55.0,76.3,65.4,0,0,0,16,10.0,1,0,0,92.4,2,0,52,0,26,55,3,0,0,3,0,0,52,4,25,0,4,8,3,0,0,25,13,12.5
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,8,8,1,61.1,0,0,193,73.9,80.1,38.2,75.7,84.0,77.2,5,2,2,18,8.3,3,1,1,70.6,11,2,164,2,148,361,56,0,0,56,0,0,305,49,164,139,19,25,18,9,2,87,34,7.9
Kyle Pugh,35900,LB,N ILLINOIS,12,20,0,33.3,0,0,254,77.8,72.9,82.0,53.6,68.3,86.7,1,4,0,11,5.1,3,2,0,43.1,2,0,348,0,139,366,10,0,0,10,0,1,356,28,199,5,17,36,6,5,0,19,12,9.5
Jordan Carmouche,39951,LB,ARK STATE,12,28,0,72.7,0,0,113,56.2,58.4,59.3,52.3,62.3,79.7,2,5,0,51,7.1,6,0,1,130.5,16,1,706,0,325,733,21,0,0,21,0,0,712,46,362,6,26,50,22,8,2,198,130,12.4
Alema Pilimai,41395,ED,BYU,4,0,0,,0,0,128,60.0,74.4,75.5,67.6,71.5,73.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,31,31,0,0,17,14,0,0,20,11,0,1,1,0,0,0,0,0,
Monte McGary,42477,CB,KANSAS,7,1,0,100.0,0,0,198,63.4,63.7,76.2,69.5,54.7,53.8,1,0,0,12,33.3,1,0,0,116.7,1,0,9,18,22,44,0,0,0,0,0,0,44,2,20,17,0,1,1,1,0,12,3,12.0
Bricen Garner,42520,S,W MICHIGAN,12,21,1,63.4,0,0,347,69.2,67.7,87.6,64.6,61.6,73.8,1,1,2,37,13.9,14,3,0,67.2,26,0,313,1,390,752,0,0,0,0,0,331,752,10,352,107,19,66,41,2,0,321,112,12.3
Brandon Moore,42620,CB,NEBRASKA,7,1,0,55.6,0,0,238,75.5,73.4,0.0,60.0,66.2,61.8,0,0,1,13,16.7,1,0,1,28.7,5,0,3,127,83,137,4,0,0,4,0,2,133,1,53,1,1,4,9,0,0,43,19,8.6
Brandon Bouyer-Randle,42637,LB,UCONN,12,24,1,84.6,0,0,146,67.6,64.9,86.9,64.5,60.2,82.3,3,10,2,30,7.4,7,0,0,63.9,22,1,455,2,213,708,231,0,0,231,0,0,477,158,337,19,32,63,26,14,0,183,154,8.3
Clifford Chattman,42657,S,UTSA,12,12,0,43.2,0,0,331,66.6,69.2,89.5,75.8,70.0,66.4,1,2,3,56,15.3,11,7,2,59.1,19,0,171,7,400,686,6,0,0,6,0,274,680,6,280,228,15,49,44,3,2,362,139,19.1
Anthony Watts,42807,DI,MARSHALL,12,8,0,100.0,0,0,214,50.3,58.6,60.4,59.2,65.1,55.2,0,6,0,49,10.7,3,0,1,118.8,1,1,1,0,10,359,358,59,259,9,31,0,1,211,138,0,15,17,1,7,0,49,32,49.0
Justin Clark,43185,CB,WISCONSIN,9,1,0,61.5,0,0,349,61.2,61.2,81.8,,59.3,62.7,0,0,0,29,16.7,2,0,2,85.7,8,0,15,204,125,229,3,0,0,3,0,0,226,0,104,7,3,9,13,0,0,101,19,12.6
Ryan McWood,43189,LB,MIAMI OH,11,29,0,90.0,0,1,221,69.7,65.2,83.3,51.9,63.3,50.5,2,7,1,23,17.7,23,4,0,103.2,27,1,710,0,363,751,10,0,0,10,0,0,741,54,334,30,42,78,30,10,1,283,185,10.5
Jaydon Grant,43354,S,OREGON ST,11,8,0,58.1,0,1,265,80.4,78.6,52.1,51.6,77.0,78.1,1,5,3,60,10.4,7,3,2,45.2,18,1,133,5,430,691,11,0,0,11,0,335,680,19,242,207,21,52,31,7,0,255,117,14.2
Linwood Crump,43401,CB,NEW MEX ST,11,3,0,46.4,0,0,242,75.2,76.0,84.2,79.5,68.7,66.8,0,0,0,19,13.0,3,3,2,82.6,13,1,41,404,249,458,10,0,0,10,0,2,448,6,203,1,6,17,28,1,2,121,17,9.3
Jon-Michael Terry,43635,LB,TULSA,12,24,0,71.4,1,0,320,57.4,60.3,46.4,59.0,63.2,72.9,2,14,0,26,12.4,11,0,2,101.6,20,2,562,0,289,803,183,0,0,181,2,0,620,91,423,57,36,54,28,18,1,189,82,9.5
Tyrone Hopper,43714,ED,MISSOURI,10,2,0,0.0,1,0,229,50.2,47.4,0.0,56.7,56.8,31.6,0,0,0,,33.3,2,0,3,39.6,0,0,2,0,6,115,112,0,4,94,14,0,3,60,49,1,1,2,1,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,12,23,0,78.8,0,1,314,61.2,75.1,85.2,78.5,78.6,77.1,1,9,2,74,9.2,8,3,0,111.1,41,2,708,2,386,757,8,0,0,8,0,3,749,60,311,36,32,56,52,12,3,515,370,12.6
Semisi Fakasiieiki,44340,LB,PURDUE,10,7,0,50.0,0,0,273,66.7,65.1,2.8,77.8,61.4,60.2,0,1,0,11,14.3,5,0,1,89.6,5,0,177,1,96,196,2,0,0,2,0,0,194,5,95,16,18,23,10,1,1,17,35,3.4
Antwaine Richardson,49364,S,KENT STATE,7,9,0,69.2,0,0,201,52.6,60.7,85.4,,79.2,72.3,0,0,0,71,11.1,5,1,0,127.9,18,0,89,2,225,418,2,0,0,2,0,154,416,0,193,171,10,31,26,0,2,265,90,14.7
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,5,0,80.0,0,0,174,31.2,43.2,78.3,55.9,57.4,35.3,0,2,0,21,27.3,6,0,0,143.8,4,0,110,0,47,129,11,0,0,11,0,0,118,11,71,8,6,11,5,2,1,45,19,11.3
Alden Tofa,51983,ED,BYU,12,6,0,66.7,0,0,128,70.2,65.0,84.0,60.5,62.1,62.6,1,4,0,9,13.3,2,0,0,78.5,2,1,19,0,17,195,174,0,0,136,38,0,21,88,90,2,7,7,3,6,0,15,11,7.5
Chaz Ah You,51989,S,BYU,2,3,0,100.0,0,0,128,67.9,61.5,74.4,59.5,52.6,56.6,0,0,0,8,20.0,1,0,0,100.0,1,0,10,0,9,24,5,0,0,5,0,0,19,1,14,9,1,1,1,0,0,8,6,8.0
Earl Tuioti-Mariner,51992,ED,BYU,10,3,0,,0,0,128,60.6,56.7,82.5,58.2,54.3,79.6,0,6,0,,0.0,0,0,0,0.0,0,0,0,0,1,254,253,5,63,64,121,0,1,130,123,0,6,6,0,6,0,0,0,
Lorenzo Fauatea,52005,DI,BYU,11,4,0,,1,1,128,,50.7,36.0,58.3,48.7,55.7,2,4,0,,12.5,2,0,2,0.0,0,4,2,0,0,368,366,67,159,32,108,0,2,187,181,0,12,10,0,10,0,0,0,
Penei Pavihi,52079,LB,HAWAII,13,21,0,84.1,0,0,180,58.4,44.2,59.8,60.1,35.9,48.8,1,5,1,35,21.9,21,1,1,102.1,37,1,719,1,364,803,14,0,0,14,0,4,789,38,401,65,36,54,44,7,1,394,347,10.6
Kaleb Hayes,52137,CB,BYU,11,6,0,67.5,0,0,128,61.9,62.0,33.6,,64.2,70.3,0,0,0,30,12.5,5,4,2,125.2,27,0,33,429,239,479,2,0,0,2,0,4,477,0,240,9,5,29,40,0,4,322,59,11.9
Jared Reed,52173,CB,BOISE ST,1,0,0,,0,0,120,,60.0,61.7,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
George Nyakwol,52203,S,RICE,9,5,0,66.7,0,2,275,60.7,66.1,84.1,73.7,70.4,60.0,3,1,1,28,15.2,7,1,0,97.2,6,0,123,8,181,367,8,0,0,8,0,194,359,13,173,34,9,34,9,4,1,91,15,15.2
Kenneth Orji,52209,ED,RICE,9,8,0,0.0,0,0,275,58.4,60.3,85.0,50.5,67.7,54.7,0,6,0,,20.0,3,0,0,39.6,0,0,13,0,15,191,169,0,0,159,10,0,22,80,96,9,1,4,1,6,0,0,0,
Trey Schuman,52216,ED,RICE,12,4,0,,0,0,275,63.2,73.2,4.8,77.2,68.2,71.7,5,12,0,,9.5,2,0,3,0.0,0,5,0,0,4,247,247,0,8,164,75,0,0,132,111,0,18,15,0,22,0,0,0,
Alii Matau,52219,LB,S JOSE ST,11,16,1,68.4,0,0,285,71.1,68.8,73.8,69.9,62.2,61.0,1,13,1,24,19.7,12,0,1,75.5,13,6,220,3,224,650,277,0,0,277,0,0,373,134,292,150,17,33,19,20,1,95,46,7.3
Rico Tolefree,52250,LB,S JOSE ST,9,3,0,85.7,0,0,285,63.6,61.9,0.0,54.3,67.3,84.8,0,0,0,27,0.0,0,1,1,116.1,6,0,21,2,59,120,25,0,0,25,0,0,95,12,49,72,4,7,7,0,0,83,18,13.8
Sinjun Astani,52257,ED,USC,2,0,0,,0,0,326,,58.8,70.0,58.1,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,5,5,0,1,4,0,0,0,3,2,0,0,0,0,0,0,0,0,
Tre White,52261,S,S JOSE ST,8,1,0,100.0,0,0,285,67.3,61.2,0.0,61.0,53.3,80.6,0,0,0,22,0.0,0,1,1,152.1,3,0,27,1,46,92,0,0,0,0,0,50,92,1,45,14,1,3,3,0,2,33,1,11.0
Gabe Reid,52273,ED,UTAH,11,8,0,100.0,0,0,328,74.2,78.1,62.6,73.6,73.4,69.9,2,28,0,14,12.5,4,0,1,118.8,1,4,6,0,17,357,351,0,15,303,33,0,6,211,129,0,18,20,1,34,0,14,7,14.0
Ryan Johnson,52282,ED,NWESTERN,6,2,3,,0,0,256,58.7,68.0,81.1,65.5,67.2,64.5,2,4,0,,16.7,1,0,0,0.0,0,1,0,0,2,169,169,0,23,88,58,0,0,77,90,0,3,3,0,7,0,0,0,
Bentlee Sanders,52291,S,NEVADA,12,5,0,61.5,0,3,239,79.1,79.2,88.8,59.6,74.2,77.9,0,0,5,44,11.6,11,3,2,52.4,32,0,210,4,408,768,3,0,0,3,0,239,765,1,359,309,22,79,52,0,1,402,141,12.6
Darrien Grant,52293,DI,USF,12,3,0,,0,0,327,62.3,59.6,83.7,54.9,60.1,71.7,1,4,0,,5.6,1,0,0,0.0,0,0,1,0,0,370,369,9,277,33,50,0,1,167,203,0,10,14,0,5,0,0,0,
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,0,,0,0,209,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Mekhi LaPointe,52315,S,USF,10,14,0,82.8,0,1,327,40.0,43.8,85.5,62.7,49.9,50.3,1,0,1,60,21.9,16,1,0,144.0,24,1,167,3,252,510,0,0,0,0,0,261,510,5,253,79,17,43,29,2,4,375,183,15.6
Nick Roberts,52318,S,SMU,12,16,0,72.5,0,2,287,61.3,57.4,56.8,48.3,53.0,67.3,0,1,3,58,13.6,11,1,3,101.7,29,0,379,12,401,777,21,0,0,21,0,180,756,9,367,185,17,54,40,1,3,436,206,15.0
Bryce Dugan,52425,DI,OHIO,9,5,0,,0,1,259,60.7,66.8,82.7,62.5,69.7,56.2,1,11,1,,19.0,4,0,0,0.0,0,2,6,0,9,261,255,22,150,41,42,0,6,190,62,0,13,12,0,14,0,0,0,
Malik Vann,52555,ED,CINCINNATI,2,0,0,,0,0,138,,53.6,0.0,59.9,56.5,73.1,0,1,0,,0.0,0,0,1,0.0,0,0,0,0,0,53,53,0,9,27,17,0,0,29,24,0,1,2,0,1,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,11,3,0,,0,0,268,60.0,68.8,81.9,61.2,72.8,66.0,0,4,0,,10.0,1,0,0,0.0,0,2,0,0,0,218,218,13,200,4,1,0,0,150,68,0,7,6,0,6,0,0,0,
Xavier Peters,52819,ED,FAU,11,3,0,100.0,0,0,165,49.1,50.5,27.1,62.2,49.6,35.8,3,1,0,15,25.0,4,0,1,118.8,2,0,1,0,8,132,131,1,16,64,50,0,1,63,61,0,7,9,2,4,0,27,8,13.5
Cole Pearce,52970,LB,BALL ST,11,31,3,63.6,0,0,117,64.6,76.3,86.3,83.7,73.7,81.8,5,6,1,27,9.0,10,1,0,59.1,14,5,816,1,390,854,14,0,0,14,0,1,840,55,409,22,52,70,22,16,0,121,74,8.6
James Camden,53418,S,CINCINNATI,1,0,0,,0,0,138,,60.8,64.9,,60.0,,0,0,0,,,0,0,0,0.0,0,0,2,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,
Deshawn Pace,53549,LB,CINCINNATI,12,16,0,80.0,0,0,138,65.9,65.7,53.2,62.1,66.5,64.1,2,4,1,32,13.8,9,1,2,88.3,20,1,388,18,233,559,84,0,0,84,0,10,475,37,289,59,20,40,25,7,1,150,88,7.5
Ja'von Hicks,53569,S,CINCINNATI,12,15,0,46.4,1,0,138,79.6,76.9,58.6,60.0,69.5,68.2,0,1,2,33,14.9,10,3,2,53.9,13,0,117,17,429,857,19,0,0,19,0,514,838,1,427,190,11,42,28,1,2,128,27,9.8
Eric Phillips,53572,ED,CINCINNATI,12,10,2,,0,1,138,67.8,71.6,28.8,67.2,73.2,75.2,6,14,0,,7.9,3,0,4,0.0,0,5,1,0,0,628,627,0,70,325,232,0,1,304,324,0,22,25,0,25,0,0,0,
Ivan Pace Jr.,53587,LB,CINCINNATI,12,30,2,85.7,2,2,138,70.0,92.8,0.0,93.2,90.1,75.8,18,25,0,19,13.7,18,3,7,140.2,12,11,784,0,254,828,42,2,0,40,0,0,786,168,406,2,63,83,14,54,2,114,68,9.5
Ryan Mullaney,53704,ED,CINCINNATI,8,4,0,,0,0,138,,60.5,0.0,62.6,64.8,58.5,0,6,0,,15.4,2,0,2,0.0,0,0,0,0,0,115,115,0,1,62,52,0,0,39,76,0,5,7,0,6,0,0,0,
Carrington Valentine,53750,CB,KENTUCKY,12,6,0,55.4,2,0,202,70.0,66.0,51.9,61.4,48.0,64.0,0,3,1,63,13.6,8,6,5,94.5,36,1,58,645,375,726,9,0,0,9,0,5,717,7,344,9,17,45,65,4,4,502,207,13.9
Jaheim Thomas,54193,LB,CINCINNATI,12,19,0,60.0,0,1,138,51.1,72.5,49.0,84.0,76.6,67.2,4,9,0,20,12.1,8,0,1,76.3,6,2,280,3,131,410,110,0,0,110,0,0,300,62,217,17,22,39,10,15,0,58,25,9.7
Isaiah Norman,54967,S,MARSHALL,7,2,0,70.0,0,0,214,53.4,57.7,20.0,59.1,70.9,90.6,0,0,0,37,0.0,0,0,1,143.3,7,0,108,5,177,326,3,0,0,3,0,102,323,2,147,108,5,21,10,0,2,104,41,14.9
Aapri Washington,55013,CB,E CAROLINA,10,5,0,62.5,1,0,156,63.5,66.6,82.2,59.3,79.3,73.2,0,1,0,24,8.3,2,0,1,101.6,10,0,9,239,144,251,3,0,0,3,0,0,248,2,105,0,3,17,16,1,1,102,40,10.2
