player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
JR Pace,10116,S,NWESTERN,12,8,0,31.8,0,0,256,74.7,73.6,56.3,59.8,70.0,51.0,0,0,1,22,21.2,11,2,3,41.3,7,0,218,10,427,786,5,0,0,5,0,198,781,2,357,355,10,33,22,0,1,87,10,12.4
Kamal Martin,12744,LB,MINNESOTA,8,18,0,73.9,0,2,225,64.0,70.6,84.7,67.2,72.2,58.3,3,2,2,13,14.7,10,1,0,80.9,17,2,409,1,229,484,19,0,0,19,0,3,465,29,226,50,30,40,23,7,2,135,100,7.9
Reggie Robinson II,13094,CB,TULSA,12,7,1,51.7,0,1,320,68.0,69.0,85.8,67.0,68.8,69.3,0,1,4,59,10.4,5,8,8,52.6,31,0,93,671,383,800,10,0,0,10,0,0,790,5,412,24,11,36,60,1,1,427,124,13.8
Jaylan Foster,13095,CB,S CAROLINA,1,0,0,,0,0,289,61.0,62.2,71.4,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,2,5,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,
Tanner Karafa,13787,DI,BOSTON COL,12,17,2,0.0,0,0,121,68.7,77.5,72.3,62.7,79.4,56.8,2,19,1,,16.1,10,0,1,0.0,0,3,1,0,0,712,711,3,573,36,99,0,1,382,330,0,34,35,1,24,0,0,0,
Aaron Roberson,13789,CB,LA TECH,12,2,0,54.2,0,0,208,66.8,67.0,82.6,57.8,65.3,71.3,0,0,0,25,9.5,2,2,0,72.0,13,0,17,99,130,202,3,0,0,3,0,5,199,2,70,78,9,17,24,0,0,143,63,11.0
Hunter Andrews,13808,ED,E MICHIGAN,12,13,2,0.0,0,0,160,60.4,66.5,86.7,56.0,70.5,62.3,0,6,0,,15.4,6,0,0,39.6,0,1,0,0,4,413,412,1,46,336,29,0,1,182,227,0,14,20,1,7,0,0,0,
Terez Dickerson,13811,LB,DOMINION,10,4,0,85.7,0,0,263,59.3,65.1,79.2,59.0,69.2,73.8,0,0,0,29,10.5,2,0,0,103.0,6,0,127,0,58,141,2,0,0,2,0,0,139,8,75,11,8,13,7,0,0,61,50,10.2
Tyrin Ferguson,13817,ED,NEBRASKA,6,1,0,66.7,0,0,238,46.9,49.0,83.2,56.5,51.9,39.4,0,3,0,20,28.6,2,0,0,99.3,2,0,4,1,16,78,64,0,0,64,0,0,14,21,41,9,3,4,3,3,0,30,18,15.0
Trevon Hill,13821,ED,MIAMI FL,12,2,1,100.0,1,0,220,68.7,71.2,10.0,73.2,69.2,62.6,10,11,0,-3,9.5,2,0,4,79.2,1,6,1,0,10,365,363,0,0,348,15,0,2,206,149,0,19,17,1,27,0,-3,0,-3.0
Adonis Thomas,13851,ED,FLORIDA ST,6,0,0,100.0,0,0,167,57.6,57.5,85.1,52.0,64.6,42.6,0,0,0,1,25.0,1,0,0,79.2,1,0,2,2,9,128,119,0,1,117,1,2,9,67,52,3,2,3,1,0,0,1,3,1.0
Malachi Jean,14041,DI,USF,2,0,0,,0,0,327,,53.9,72.8,60.0,55.5,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,
Chris Richardson,14095,DI,UTEP,11,9,2,,0,0,330,73.9,63.8,32.6,62.9,64.3,67.7,1,5,0,,7.4,2,0,3,0.0,0,0,10,0,0,477,466,343,122,1,0,0,11,233,244,0,11,16,0,6,0,0,0,
Robert Hayes Jr.,14327,CB,SMU,11,3,0,56.0,0,0,287,69.6,68.3,82.9,57.2,58.3,78.1,0,1,0,75,5.3,1,1,1,97.6,14,0,16,300,181,320,3,0,0,3,0,0,317,1,138,1,4,15,25,1,1,213,102,15.2
