player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
JR Pace,10116,S,NWESTERN,12,12,0,51.2,0,0,256,79.1,73.6,89.6,57.5,57.5,56.6,0,0,3,47,17.6,15,5,0,59.0,22,0,195,12,485,841,3,0,0,3,0,358,838,3,353,273,22,58,43,0,2,287,126,13.0
D.K. Buford,12500,HB,OLE MISS,1,0,0,,0,0,226,,60.0,60.0,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Enoch Smith Jr.,12534,DI,OKLA STATE,12,6,1,0.0,0,0,262,63.4,70.9,39.4,59.9,77.8,80.2,1,8,0,,4.0,1,0,3,39.6,0,0,0,0,0,534,534,296,231,0,7,0,0,270,264,0,11,18,1,9,0,0,0,
Jeffrey Allison,12542,LB,FRESNO ST,12,18,0,70.0,0,0,169,73.8,80.4,84.7,62.4,82.0,70.5,5,7,2,19,11.4,13,1,2,60.6,14,2,533,0,284,623,23,0,0,23,0,1,600,59,280,64,57,83,20,14,1,111,62,7.9
Sione Takitaki,12666,LB,BYU,12,24,0,77.4,0,1,128,66.5,76.2,37.4,65.8,82.2,59.1,2,11,0,26,16.7,21,2,2,96.0,24,2,556,17,327,738,110,1,0,109,0,0,628,80,331,55,41,81,31,15,0,219,111,9.1
Rashaan Falemalu,12678,LB,HAWAII,1,0,0,,0,0,180,,59.3,69.3,,59.3,74.3,0,0,0,,0.0,0,0,0,0.0,0,0,7,0,0,8,0,0,0,0,0,0,8,0,8,1,0,1,0,0,0,0,0,
Robert Bullard,12729,CB,AIR FORCE,4,0,0,23.1,0,0,101,64.6,63.2,78.7,59.1,55.4,77.0,0,0,0,11,0.0,0,1,0,39.6,3,0,10,105,59,116,0,0,0,0,0,0,116,2,55,0,1,1,13,0,0,22,17,7.3
Malik Rivera,12743,S,GA TECH,12,11,0,50.0,0,0,176,76.6,69.8,16.8,67.5,58.7,60.2,0,1,2,56,18.7,14,3,2,72.5,10,0,200,4,382,714,2,0,0,2,0,458,712,3,329,50,10,50,20,1,2,168,77,16.8
Kamal Martin,12744,LB,MINNESOTA,12,15,0,78.0,0,0,225,62.7,60.1,86.7,58.5,55.7,47.8,2,5,0,30,20.8,15,1,1,98.2,32,0,259,5,292,606,132,0,0,132,0,1,474,52,262,209,23,42,41,7,1,230,154,7.2
Ken Webster,12955,CB,OLE MISS,10,5,0,55.6,0,0,226,75.7,76.7,83.1,63.7,75.6,72.4,1,0,2,34,11.9,5,4,2,58.1,15,0,36,301,171,365,2,0,0,2,0,1,363,3,191,25,10,32,27,1,1,183,91,12.2
Reggie Robinson II,13094,CB,TULSA,8,3,0,40.0,0,0,320,65.7,62.6,0.0,56.2,59.1,80.2,0,0,0,17,9.5,2,4,2,64.6,8,0,10,250,104,269,8,0,0,8,0,0,261,2,163,0,4,16,20,0,1,59,20,7.4
Jaylan Foster,13095,CB,S CAROLINA,2,0,0,50.0,0,0,289,54.8,55.7,72.7,,61.0,73.5,0,0,0,57,0.0,0,0,0,95.8,1,0,2,16,10,19,0,0,0,0,0,0,19,0,9,1,0,1,2,0,0,57,11,57.0
Ed Rolle,13172,CB,CHARLOTTE,12,5,0,65.8,0,1,136,63.4,63.7,87.5,55.0,64.0,55.2,1,2,0,70,21.2,11,4,0,134.1,25,1,125,0,283,559,0,0,0,0,0,89,559,14,262,344,15,36,38,4,5,343,189,13.7
Deonta Moore,13310,HB,S ALABAMA,1,0,0,,0,0,288,,60.1,60.0,,60.0,,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Jabril Robinson,13396,ED,W VIRGINIA,11,3,2,,0,0,343,63.4,65.0,86.3,55.2,70.5,39.4,1,14,0,,22.2,6,0,0,0.0,0,0,4,0,2,454,450,0,13,176,261,0,4,255,197,0,13,18,0,15,0,0,0,
Penny Hart,13534,WR,GA STATE,1,0,0,,0,0,175,,60.0,60.0,,60.0,,0,0,0,,,0,0,4,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
