player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Joey Bosa,10637,ED,OHIO STATE,11,2,1,50.0,0,0,260,67.4,90.3,7.2,90.5,86.9,64.1,21,42,1,2,15.6,7,1,7,16.7,1,7,2,0,18,659,657,0,17,583,57,0,2,341,300,0,37,36,2,70,0,2,4,2.0
Jalen Ramsey,10639,CB,FLORIDA ST,12,6,2,55.7,0,0,167,81.5,82.1,2.7,61.1,90.2,86.3,2,3,0,58,7.7,4,4,3,74.7,34,1,124,648,418,798,12,0,0,12,0,3,786,33,347,11,24,42,61,6,1,303,108,8.9
DeForest Buckner,10641,DI,OREGON,12,10,5,100.0,1,0,264,63.6,86.9,63.5,84.9,81.4,74.4,15,37,0,16,10.3,7,0,2,158.3,1,11,3,0,4,839,836,23,258,113,442,0,3,503,332,0,43,51,1,63,1,16,1,16.0
Leonard Floyd,10643,ED,GEORGIA,12,12,0,70.6,0,0,173,66.0,85.2,52.9,91.0,78.4,68.4,7,25,0,24,14.7,11,1,3,84.7,12,4,199,0,133,627,397,0,0,397,0,0,230,160,334,31,36,52,17,36,0,97,54,8.1
Eli Apple,10644,CB,OHIO STATE,12,6,0,42.3,1,0,260,77.9,77.8,54.0,68.5,75.2,51.2,1,0,1,56,19.4,7,5,5,67.6,22,0,84,714,435,817,8,0,0,8,0,1,809,3,379,10,11,23,52,1,2,318,116,14.5
Vernon Hargreaves III,10645,CB,FLORIDA,11,2,0,46.3,0,1,163,78.5,78.2,85.7,,71.6,52.8,0,0,4,52,20.0,5,2,0,24.3,19,0,38,529,306,584,7,0,0,7,0,3,577,0,278,7,4,18,41,0,0,228,72,12.0
Sheldon Rankins,10646,DI,LOUISVILLE,12,3,1,0.0,0,0,210,66.3,84.4,85.8,74.2,84.1,78.8,8,29,0,,8.7,4,0,1,39.6,0,6,1,0,7,666,665,56,359,72,178,0,1,336,323,0,38,39,2,43,0,0,0,
Karl Joseph,10648,S,W VIRGINIA,4,4,0,33.3,0,0,343,88.8,88.3,84.0,64.9,82.0,73.9,0,1,5,60,10.0,2,1,0,57.6,4,1,83,0,114,239,18,0,0,18,0,95,221,8,117,43,9,14,12,2,1,114,64,28.5
Keanu Neal,10651,S,FLORIDA,10,12,1,73.3,1,2,163,75.7,71.8,4.9,67.0,65.9,59.2,1,2,1,19,19.7,14,1,2,55.1,11,1,118,4,294,578,3,0,0,3,0,402,575,6,278,51,19,45,15,4,0,71,25,6.5
Shaq Lawson,10653,ED,CLEMSON,12,7,0,50.0,1,0,140,72.3,78.9,22.5,73.9,81.9,86.0,10,19,0,8,2.9,1,0,5,60.4,1,9,2,0,27,610,607,0,3,569,35,0,3,304,279,1,30,26,2,38,0,8,1,8.0
Darron Lee,10654,LB,OHIO STATE,12,14,0,72.1,0,1,260,66.3,71.0,37.0,70.7,76.7,63.1,4,13,1,37,18.5,12,2,2,88.5,31,2,344,1,324,782,81,0,0,81,0,2,701,97,361,354,22,39,43,19,1,292,201,9.4
William Jackson III,10658,CB,HOUSTON,10,3,0,46.4,1,0,182,82.7,81.2,46.5,48.3,75.7,84.8,0,0,3,65,8.8,3,10,4,60.5,32,0,81,557,373,645,2,0,0,2,0,0,643,2,270,5,10,28,69,0,2,468,136,14.6
Artie Burns,10659,CB,MIAMI FL,11,3,0,51.1,1,0,220,76.5,72.0,0.0,42.6,70.9,72.4,0,1,6,41,11.4,5,3,8,41.9,23,0,64,467,283,549,6,0,0,6,0,3,543,5,261,9,8,36,45,1,1,318,116,13.8
Kenny Clark,10661,DI,UCLA,12,9,3,,0,0,324,76.9,80.0,78.4,75.0,74.3,72.1,3,29,0,,13.3,8,0,1,0.0,0,6,48,0,2,829,781,370,405,1,5,0,48,437,390,0,39,43,0,38,0,0,0,
Robert Nkemdiche,10663,DI,OLE MISS,11,3,2,,1,0,226,65.9,79.7,36.0,80.7,73.2,82.4,6,27,0,,0.0,0,0,3,0.0,0,4,3,0,1,581,578,23,417,49,89,0,3,347,233,0,20,20,0,37,0,0,0,
Vernon Butler,10664,DI,LA TECH,12,11,1,,1,0,208,60.9,83.8,19.5,73.2,90.3,78.6,9,25,0,,4.3,2,0,5,0.0,0,2,9,0,0,659,650,194,402,1,53,0,9,378,281,0,30,34,0,36,0,0,0,
Emmanuel Ogbah,10666,ED,OKLA STATE,12,10,1,,0,2,262,69.1,78.4,88.3,83.7,64.0,72.3,14,44,0,,10.9,5,0,0,0.0,0,12,2,0,11,715,711,0,16,559,136,0,4,386,318,2,33,31,0,70,0,0,0,
Kevin Dodd,10667,ED,CLEMSON,12,10,0,100.0,0,0,140,76.2,79.9,88.4,69.5,79.3,81.9,6,30,0,2,11.6,5,0,0,79.2,2,7,1,1,23,600,595,0,7,557,31,0,5,311,266,3,32,28,2,43,0,0,3,0.0
Jaylon Smith,10668,LB,NOTRE DAME,12,20,2,62.5,0,2,258,79.4,90.0,65.3,81.2,90.2,83.1,7,7,0,26,7.6,9,4,1,74.6,25,0,577,2,349,772,133,0,0,133,0,9,639,46,377,51,49,90,40,14,0,196,129,7.8
Myles Jack,10670,LB,UCLA,3,3,0,58.3,1,0,324,80.1,77.4,0.0,66.8,78.9,86.5,0,0,1,10,7.1,1,1,4,28.5,7,0,65,1,100,200,22,0,0,22,0,0,178,7,93,112,6,10,12,0,0,34,38,4.9
Chris Jones,10671,DI,MISS STATE,12,5,4,0.0,0,0,227,55.6,88.8,69.2,90.7,78.6,84.2,12,26,0,,16.1,5,0,1,39.6,0,3,6,0,3,549,542,67,374,64,37,0,7,301,245,1,19,21,1,41,0,0,0,
Xavien Howard,10672,CB,BAYLOR,12,3,0,35.8,1,0,118,82.5,80.9,52.6,66.0,76.1,75.7,1,1,5,46,11.1,5,7,6,21.8,24,0,106,761,472,893,20,0,0,20,0,0,873,2,419,6,17,37,67,2,1,257,88,10.7
Reggie Ragland,10675,LB,ALABAMA,12,11,2,68.6,0,2,103,86.6,89.9,88.4,74.2,83.3,81.9,4,9,0,22,10.8,9,3,0,80.3,24,3,486,2,287,642,79,0,1,74,4,1,563,80,275,74,45,63,35,16,0,177,123,7.4
Kamalei Correa,10676,ED,BOISE ST,12,5,0,50.0,0,2,120,85.0,76.9,35.5,80.4,62.7,68.5,11,16,0,17,15.4,4,1,3,57.6,3,6,71,10,84,595,484,0,3,404,77,0,111,235,276,30,19,17,6,33,0,20,21,6.7
Austin Johnson,10677,DI,PENN STATE,12,16,2,,1,1,266,75.3,86.1,75.2,65.5,90.3,81.2,2,12,0,,10.0,6,0,1,0.0,0,6,0,0,3,629,629,318,301,0,10,0,0,316,310,0,33,38,0,20,0,0,0,
Jihad Ward,10678,ED,ILLINOIS,12,8,1,,0,0,187,65.5,66.0,48.1,59.4,69.0,73.3,6,16,0,,13.8,8,0,3,0.0,0,3,5,0,0,695,690,0,191,467,32,0,5,344,351,0,30,42,0,25,0,0,0,
A'Shawn Robinson,10680,DI,ALABAMA,12,5,3,,0,0,103,61.0,84.0,85.1,65.5,90.8,84.4,2,14,0,,0.0,0,0,0,0.0,0,2,0,0,0,463,463,52,294,5,112,0,0,277,186,0,24,26,0,18,0,0,0,
Jarran Reed,10683,DI,ALABAMA,12,8,4,,0,0,103,,91.2,62.7,71.7,93.7,80.4,1,14,0,,2.6,1,0,1,0.0,0,2,1,0,0,420,419,84,263,8,64,0,1,209,211,0,28,30,0,17,0,0,0,
Deion Jones,10686,LB,LSU,11,19,0,71.4,0,0,211,54.0,54.8,0.0,76.1,53.8,67.3,9,7,2,30,15.8,15,2,3,83.0,35,3,581,3,340,659,26,0,0,26,0,1,633,51,268,48,36,61,49,19,2,292,215,8.3
Su'a Cravens,10687,S,USC,12,11,2,64.5,0,1,326,84.9,81.8,93.0,70.4,71.7,75.5,1,7,2,28,14.1,10,2,1,63.9,20,6,119,10,310,707,234,0,0,234,0,10,473,93,304,334,40,50,31,14,1,180,144,9.0
Mackensie Alexander,10688,CB,CLEMSON,11,2,0,31.0,0,0,140,72.7,74.1,86.5,68.8,72.6,57.7,1,0,0,23,18.2,4,5,1,45.6,13,0,19,463,316,589,12,0,0,12,0,3,577,3,270,92,3,16,42,1,0,179,66,13.8
T.J. Green,10691,S,CLEMSON,12,9,0,59.3,0,2,140,50.3,62.3,87.0,65.1,78.4,77.1,1,1,0,55,11.3,8,0,0,99.0,16,1,258,7,366,691,12,0,0,12,0,363,679,8,317,51,21,54,27,3,0,308,93,19.3
Sean Davis,10692,CB,MARYLAND,12,4,0,61.7,0,4,215,60.2,64.6,56.8,63.5,78.2,77.7,0,2,3,58,12.2,10,4,5,104.0,50,1,132,657,433,858,17,0,0,17,0,19,841,6,419,33,18,68,81,3,7,721,241,14.4
Cyrus Jones,10694,CB,ALABAMA,12,1,0,56.9,0,1,103,79.3,83.4,49.5,70.9,91.4,82.5,1,0,1,66,6.7,2,5,4,97.2,29,0,25,684,442,727,4,0,0,4,0,6,723,2,283,8,13,27,51,1,4,364,118,12.6
Vonn Bell,10695,S,OHIO STATE,12,6,0,45.1,0,0,260,87.1,85.6,57.9,,76.5,77.3,0,0,2,52,11.3,7,5,2,55.5,23,0,55,1,446,827,6,0,0,6,0,421,821,0,381,344,19,49,51,0,2,234,89,10.2
Adam Gotsis,10697,DI,GA TECH,9,5,0,,0,0,176,63.1,74.2,36.4,82.1,66.5,62.0,12,9,0,,13.8,4,0,2,0.0,0,3,0,0,3,364,364,22,319,11,12,0,0,181,180,0,18,20,0,24,0,0,0,
Kevin Byard,10698,S,MIDDLE TN,10,9,0,64.3,0,0,224,89.5,90.0,44.0,64.4,77.9,84.1,1,0,4,59,7.8,5,6,1,62.7,27,0,34,0,342,601,0,0,0,0,0,484,601,5,254,83,14,50,42,1,2,310,184,11.5
Carl Nassib,10699,ED,PENN STATE,12,5,0,100.0,1,6,266,64.4,87.2,50.8,91.1,73.2,70.3,9,29,1,10,17.1,7,0,2,56.3,2,15,0,0,18,501,501,0,3,412,86,0,0,229,254,0,36,29,2,53,0,14,12,7.0
Maliek Collins,10701,DI,NEBRASKA,12,6,0,100.0,0,1,238,61.9,83.2,18.3,74.9,89.7,72.4,8,32,0,3,11.1,3,0,5,79.2,1,3,21,0,1,706,685,48,622,8,7,0,21,455,250,0,17,18,1,43,0,3,5,3.0
Will Redmond,10702,CB,MISS STATE,7,2,0,47.8,0,0,227,74.4,73.7,83.7,59.5,67.3,60.0,2,0,2,22,22.6,7,0,0,41.0,11,0,41,268,167,348,1,0,0,1,0,2,347,5,176,36,9,22,23,2,1,115,16,10.5
Yannick Ngakoue,10703,ED,MARYLAND,12,6,1,,0,1,215,53.9,66.0,41.8,82.2,52.6,70.8,10,34,0,,15.4,4,0,4,0.0,0,13,7,0,18,768,761,0,3,702,56,0,7,376,374,0,24,16,0,57,0,0,0,
Bronson Kaufusi,10704,DI,BYU,12,5,1,100.0,0,2,128,61.7,81.5,70.6,83.0,74.8,71.6,13,31,1,21,13.7,7,0,1,79.2,3,9,4,0,27,613,609,2,60,253,294,0,4,337,249,0,40,39,3,53,0,42,14,14.0
Darian Thompson,10705,S,BOISE ST,10,4,0,53.1,0,2,120,84.2,87.4,87.7,70.2,87.5,58.1,0,0,5,45,17.5,11,5,0,65.4,17,1,131,0,344,599,11,0,0,11,0,273,588,1,254,184,25,48,32,1,3,210,103,12.4
Jonathan Bullard,10706,DI,FLORIDA,12,9,1,,0,0,163,63.5,91.3,50.9,71.7,94.6,87.5,6,16,0,,2.0,1,0,2,0.0,0,6,0,0,0,553,553,15,398,60,80,0,0,309,244,0,36,41,0,28,0,0,0,
KeiVarae Russell,10708,CB,NOTRE DAME,11,1,0,61.3,0,2,258,71.9,70.5,86.2,58.9,62.3,73.9,0,0,2,51,10.2,6,3,2,89.7,38,1,72,555,354,704,14,0,0,14,0,2,690,11,339,61,14,52,62,1,2,583,147,15.3
Shilique Calhoun,10709,ED,MICH STATE,12,4,2,25.0,1,0,223,65.7,73.7,0.0,85.4,64.5,51.1,14,41,0,-3,30.8,12,1,11,39.6,1,9,1,0,3,782,780,0,4,750,26,0,2,446,333,1,26,23,4,64,0,-3,0,-3.0
Daryl Worley,10711,CB,W VIRGINIA,12,3,0,53.6,1,2,343,78.1,81.0,86.2,58.2,84.8,78.3,0,1,6,77,10.0,5,11,4,72.1,37,0,40,733,437,793,0,0,0,0,0,14,793,1,355,6,17,42,69,1,4,699,211,18.9
Adolphus Washington,10714,DI,OHIO STATE,12,9,1,,0,1,260,68.7,88.1,72.8,89.5,75.0,78.7,8,35,1,,12.0,6,0,1,0.0,0,5,0,0,0,732,732,57,584,1,90,0,0,398,334,0,28,35,0,48,0,0,0,
Jordan Jenkins,10717,ED,GEORGIA,11,10,0,100.0,0,2,173,65.6,79.3,88.3,73.1,77.8,77.7,5,17,0,23,12.7,7,0,1,118.8,1,4,11,0,21,462,446,0,20,362,64,0,16,179,262,5,31,38,1,26,0,23,16,23.0
Kendall Fuller,10718,CB,VA TECH,3,0,0,42.9,0,1,337,55.5,61.8,81.3,90.0,66.3,61.2,0,0,0,26,20.0,1,2,2,89.9,6,1,11,120,77,168,2,0,0,2,0,3,166,5,86,32,2,4,14,1,1,95,24,15.8
Nick Vigil,10721,LB,UTAH ST,12,23,0,64.7,0,2,329,76.4,86.0,37.0,84.6,77.2,82.4,3,5,0,81,9.8,13,1,3,113.1,11,4,746,1,281,820,46,0,0,46,0,4,774,71,468,23,68,96,17,12,1,153,97,13.9
Kyler Fackrell,10722,ED,UTAH ST,12,8,1,100.0,0,2,329,74.1,79.3,78.7,90.1,69.3,65.0,11,25,0,29,14.9,10,0,1,126.3,13,4,99,1,169,812,667,0,0,617,50,0,145,180,463,45,37,49,13,40,1,106,43,8.2
Brandon Williams,10726,CB,TEXAS A&M,12,2,1,57.5,0,0,312,58.9,58.8,33.5,73.0,58.0,77.9,0,0,0,47,6.5,2,2,4,89.6,23,0,33,420,209,466,2,0,0,2,0,2,464,3,254,9,11,27,40,0,1,300,89,13.0
Vincent Valentine,10730,DI,NEBRASKA,9,2,0,,0,0,238,62.0,70.7,84.0,66.6,69.5,78.2,3,9,0,,0.0,0,0,0,0.0,0,4,1,0,1,367,366,18,348,0,0,0,1,229,137,0,8,4,0,16,0,0,0,
Justin Simmons,10732,S,BOSTON COL,12,5,0,52.8,0,1,121,81.2,84.7,88.7,71.2,85.2,85.0,2,1,5,67,7.8,5,1,0,34.8,19,0,127,8,393,737,24,0,0,24,0,425,713,5,339,153,24,54,36,3,0,245,113,12.9
Joe Schobert,10733,ED,WISCONSIN,12,8,0,61.5,0,4,349,74.6,89.5,74.4,91.4,84.2,68.4,13,28,1,18,22.0,13,2,1,36.1,8,9,68,0,166,614,486,0,0,485,1,0,128,173,275,60,36,38,13,50,0,46,46,5.8
Charles Tapper,10735,DI,OKLAHOMA,12,11,5,,0,4,261,65.8,77.3,69.3,70.0,76.9,73.9,1,24,0,,13.0,6,0,2,0.0,0,7,0,0,2,648,648,6,120,162,360,0,0,349,297,0,27,29,0,32,0,0,0,
Joshua Perry,10736,LB,OHIO STATE,12,17,0,63.9,0,0,260,88.3,89.6,87.7,77.1,79.0,90.6,4,6,0,21,3.4,3,3,0,92.7,23,4,599,2,331,723,21,0,0,21,0,4,702,61,331,97,37,67,36,14,2,163,129,7.1
Sheldon Day,10737,DI,NOTRE DAME,12,3,2,,0,1,258,57.5,86.5,44.8,84.0,86.2,72.4,9,32,0,,16.7,7,0,3,0.0,0,4,4,0,20,715,711,12,329,94,276,0,4,337,358,0,30,32,0,45,0,0,0,
Tavon Young,10738,CB,TEMPLE,11,8,0,56.7,0,0,306,72.2,75.1,86.7,78.1,79.9,81.7,0,0,0,34,6.8,3,7,7,83.0,34,1,17,720,480,762,5,0,0,5,0,1,757,0,282,19,13,33,60,1,2,325,106,9.6
Eric Murray,10740,CB,MINNESOTA,12,2,0,53.4,0,3,225,65.9,71.4,86.4,94.1,71.0,55.8,0,0,1,44,20.0,13,5,5,64.8,31,1,161,617,395,861,6,0,0,6,0,4,855,8,458,73,22,50,58,1,0,353,117,11.4
B.J. Goodson,10743,LB,CLEMSON,12,20,0,77.8,0,1,140,78.7,88.1,88.5,74.4,82.0,87.6,3,22,1,39,7.8,7,1,1,101.7,21,6,646,0,295,702,32,0,0,32,0,2,670,87,320,22,52,63,27,31,1,247,207,11.8
Nick Kwiatkoski,10747,LB,W VIRGINIA,12,9,1,58.6,0,1,343,84.5,82.6,21.1,66.8,83.1,76.4,6,14,3,31,15.3,13,4,4,57.8,17,3,597,0,282,765,134,0,0,134,0,2,631,128,355,32,40,63,29,23,2,163,103,9.6
De'Vondre Campbell,10749,LB,MINNESOTA,12,13,0,68.4,0,1,225,84.8,76.3,83.9,64.2,68.1,90.7,1,5,1,17,5.1,4,4,0,57.3,13,2,485,2,222,622,59,0,0,59,0,0,563,59,341,76,29,61,19,8,0,92,99,7.1
Hassan Ridgeway,10750,DI,TEXAS,11,7,0,,0,0,311,66.3,84.3,84.3,76.1,80.6,85.2,8,18,0,,0.0,0,0,0,0.0,0,4,2,0,0,452,450,64,224,25,137,0,2,238,214,0,22,27,0,30,0,0,0,
Juston Burris,10752,CB,NC STATE,12,4,0,48.7,0,1,248,75.7,75.7,48.0,50.8,76.4,78.8,0,0,1,53,8.3,3,3,4,60.2,19,0,54,617,356,687,9,0,0,9,0,2,678,4,327,5,7,29,39,0,1,184,71,9.7
Andrew Billings,10756,DI,BAYLOR,11,4,0,,0,1,118,52.2,80.7,72.4,75.6,85.3,84.4,3,21,0,,7.9,3,0,1,0.0,0,5,0,0,14,680,680,294,385,0,1,0,0,349,317,0,31,31,0,29,0,0,0,
Deon Bush,10758,S,MIAMI FL,12,7,0,70.8,0,0,220,70.4,70.4,33.8,70.2,68.8,69.0,0,1,1,31,14.5,8,3,2,74.8,17,1,70,20,297,555,6,0,0,6,0,337,549,8,250,122,11,40,24,2,0,179,104,10.5
Antonio Morrison,10759,LB,FLORIDA,12,15,0,73.1,0,1,163,43.8,55.2,55.3,70.5,62.8,55.9,2,6,0,58,17.1,13,1,2,121.0,19,3,530,0,285,609,44,0,0,44,0,5,565,37,287,30,28,48,26,11,1,282,222,14.8
Derrick Kindred,10763,S,TCU,12,14,0,43.2,0,1,305,83.8,83.2,89.2,60.0,76.0,58.8,0,0,2,82,18.3,15,4,1,48.5,16,0,96,1,470,906,3,0,0,3,0,608,903,1,435,198,16,53,37,0,1,212,108,13.3
Blake Martinez,10765,LB,STANFORD,12,13,0,60.5,0,0,300,87.8,78.7,87.6,55.8,67.8,83.8,2,5,1,54,8.4,9,5,1,75.0,23,0,700,1,378,752,14,0,0,14,0,1,738,50,324,36,42,85,38,7,1,225,140,9.8
