player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Justin Segura,75776,DI,NEW MEX ST,2,0,0,,0,0,242,,66.5,75.1,60.0,67.3,36.3,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,39,39,1,19,1,18,0,0,17,22,0,1,1,0,1,0,0,0,
Cole Godbout,75784,DI,WYOMING,5,6,1,,0,0,351,60.0,76.1,56.2,64.2,80.9,60.3,2,8,0,,10.0,3,0,1,0.0,0,2,1,0,0,326,324,1,303,1,19,0,2,166,160,0,13,21,0,12,0,0,0,
Da'Shon Ross,75804,LB,UMASS,1,0,0,,0,1,216,,90.9,65.4,,86.3,77.1,0,0,0,,0.0,0,0,0,0.0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,8,0,1,2,0,0,0,0,0,
Dequan Jackson,75810,LB,COLO STATE,4,10,0,50.0,0,0,144,51.9,66.4,24.0,63.4,76.3,73.4,2,2,0,37,10.0,4,0,1,91.7,4,2,287,1,115,298,7,0,0,7,0,1,291,31,152,1,21,26,8,6,0,92,40,23.0
Cam'Ron Carter,75811,LB,COLO STATE,4,11,0,84.6,0,0,144,44.3,52.4,81.7,68.8,55.6,55.8,1,3,0,21,18.2,6,0,0,132.1,11,2,186,3,96,241,16,0,0,16,0,4,225,30,115,31,10,16,13,6,1,124,55,11.3
Troy Golden,75814,ED,COLO STATE,2,1,0,,0,0,144,,58.7,76.6,69.4,53.4,73.7,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,27,27,0,0,27,0,0,0,6,21,0,0,1,0,2,0,0,0,
Chuck Hicks,75816,LB,WYOMING,5,12,0,70.0,0,0,351,64.9,69.3,80.9,61.1,71.1,81.2,0,2,1,11,10.3,3,0,0,37.1,7,2,180,2,88,199,11,0,0,11,0,1,188,22,89,5,9,14,10,4,0,39,38,5.6
Chad Muma,75818,LB,WYOMING,6,12,1,80.8,0,1,351,61.7,78.2,19.6,73.7,87.8,85.4,2,8,0,23,7.1,5,2,1,96.5,21,3,285,0,144,347,6,0,0,6,0,1,341,42,161,54,28,53,26,13,0,186,135,8.9
Devin Richardson,75820,LB,NEW MEX ST,1,1,0,,0,0,242,54.8,48.9,73.5,54.8,48.8,54.8,0,0,0,,16.7,1,0,0,0.0,0,0,57,0,23,62,1,0,0,1,0,0,61,4,35,4,1,4,0,0,0,0,0,
Antonio Montero,75822,LB,RICE,4,7,0,100.0,0,1,275,51.5,49.6,80.2,55.9,50.9,60.5,1,1,0,19,14.3,4,0,0,101.7,5,0,148,0,58,169,7,0,0,7,0,0,162,14,97,14,7,17,5,2,0,42,47,8.4
Treshawn Chamberlain,75823,LB,RICE,4,3,0,85.7,0,0,275,73.2,73.7,81.6,59.6,73.0,86.7,0,1,1,21,4.2,1,0,0,50.3,6,1,90,0,95,226,15,0,0,15,0,52,211,15,116,69,6,20,7,2,0,39,17,6.5
Blaze Alldredge,75826,LB,RICE,5,11,1,64.3,1,0,275,59.4,61.4,31.0,69.4,60.0,88.4,0,5,1,26,2.2,1,1,1,44.6,9,1,253,0,108,309,39,0,0,39,0,1,270,40,161,16,21,33,14,6,0,63,21,7.0
Jason Davis,75861,DI,WYOMING,1,1,0,,0,0,351,,60.2,69.9,60.0,60.3,68.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,4,4,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,
Ikenna Enechukwu,75875,ED,RICE,5,5,0,,0,0,275,60.0,52.5,29.2,59.8,50.9,78.9,1,5,0,,0.0,0,0,1,0.0,0,0,1,0,1,142,141,0,33,51,57,0,1,64,77,0,1,3,0,6,0,0,0,
Quinn Brinnon,75908,S,COLO STATE,3,2,0,75.0,0,0,144,48.6,48.4,79.0,58.4,51.1,33.8,0,0,0,56,30.0,6,0,0,112.0,6,0,55,4,43,99,1,0,0,1,0,22,98,1,55,17,4,12,8,0,0,91,36,15.2
Tywan Francis,75909,CB,COLO STATE,3,4,0,60.0,0,0,144,51.6,57.6,83.1,64.4,79.0,87.1,2,0,0,39,0.0,0,2,0,120.4,9,0,17,4,87,137,8,0,0,8,0,8,129,6,44,100,3,9,15,2,1,166,60,18.4
James Green III,75943,S,HAWAII,1,0,0,,0,0,180,,60.0,62.8,,60.0,,0,0,0,,,0,0,0,0.0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
Thomas Pannunzio,75953,S,COLO STATE,2,1,0,0.0,0,0,144,48.9,57.9,76.1,58.9,71.9,73.1,0,0,0,,0.0,0,1,0,39.6,0,0,3,3,7,20,6,0,0,6,0,2,14,2,11,6,0,0,2,0,0,0,0,
Caleb Mills,75959,S,NEW MEX ST,2,1,0,100.0,0,0,242,72.4,70.2,0.0,,70.5,85.2,0,0,0,3,0.0,0,0,1,79.2,1,0,13,0,50,93,0,0,0,0,0,77,93,0,43,3,1,7,1,0,0,3,1,3.0
Chandler Jones,76565,CB,LOUISVILLE,10,2,0,46.4,0,0,210,69.1,69.8,28.3,76.9,67.7,71.2,0,0,0,42,11.5,3,4,2,71.1,13,1,28,334,191,393,14,0,0,14,0,10,379,5,197,6,7,21,28,1,0,204,92,15.7
Montre Miller,76568,CB,KENT STATE,4,0,0,66.7,0,0,201,54.7,58.2,78.3,,70.8,78.5,0,0,0,25,0.0,0,0,0,109.7,4,0,14,84,54,102,2,0,0,2,0,0,100,0,48,2,0,3,6,0,0,76,9,19.0
Jeremiah Lewis,76571,CB,DUKE,11,11,0,44.7,1,0,154,65.9,59.6,87.2,58.7,34.9,37.4,0,0,2,56,24.6,14,6,4,94.5,21,0,33,592,328,687,31,0,0,31,0,5,656,2,357,25,8,32,47,0,5,423,98,20.1
Teshaun Smith,76572,CB,NC STATE,1,0,0,50.0,0,0,248,59.4,60.4,77.0,,62.6,58.9,0,0,0,14,25.0,1,0,0,69.8,2,0,1,56,28,57,0,0,0,0,0,0,57,0,29,0,1,3,4,0,0,25,9,12.5
Taiyon Palmer,76574,CB,NC STATE,3,0,0,75.0,0,0,248,61.6,62.2,81.4,50.6,69.6,81.2,0,1,0,26,0.0,0,1,1,113.5,3,0,3,7,51,73,10,0,0,10,0,10,63,7,15,42,2,5,4,1,0,47,25,15.7
Isaac Duffy,76575,S,NC STATE,5,4,0,40.0,0,0,248,79.0,79.2,81.1,75.8,72.0,87.2,0,0,1,17,0.0,0,1,0,11.7,2,1,47,1,93,166,8,0,0,8,0,79,158,2,71,31,4,9,5,1,0,19,4,9.5
Kyler McMichael,76577,CB,N CAROLINA,8,1,0,50.0,0,0,245,61.7,60.4,83.7,65.7,50.1,66.5,0,2,0,53,12.5,3,4,2,100.8,16,0,45,402,276,452,4,0,0,4,0,0,448,4,172,1,8,20,32,2,2,278,100,17.4
Mario Goodrich,76578,CB,CLEMSON,6,1,0,50.0,0,0,140,59.0,57.8,81.2,58.7,52.2,37.7,0,0,2,59,33.3,3,1,0,85.4,7,0,12,149,91,174,4,0,0,4,0,0,170,2,81,9,2,5,14,0,2,140,50,20.0
Elijah Clark,76579,CB,TEMPLE,5,0,0,62.5,0,0,306,47.1,46.0,79.6,,45.2,20.7,0,0,1,60,54.5,6,1,0,106.3,5,0,0,128,57,129,0,0,0,0,0,0,129,0,72,1,1,5,8,0,3,132,60,26.4
Chauncey Moore,76581,CB,TEMPLE,4,0,0,71.4,0,0,306,48.3,46.9,82.7,57.3,44.8,36.2,0,0,0,46,33.3,2,0,0,153.3,5,0,3,21,61,128,0,0,0,0,0,3,128,2,65,101,2,4,7,0,1,112,68,22.4
