player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dante Fowler Jr.,9436,ED,FLORIDA,11,8,1,66.7,0,2,163,73.6,85.9,13.3,80.9,86.1,84.9,8,29,0,6,13.0,6,0,4,70.1,2,6,209,0,55,580,356,1,1,113,241,0,224,265,260,15,31,32,3,43,0,2,3,1.0
Leonard Williams,9439,DI,USC,12,7,3,,0,2,326,68.8,82.5,42.4,61.7,91.5,74.2,11,22,1,,10.6,7,0,3,0.0,0,7,0,0,0,773,773,16,1,75,681,0,0,475,298,0,48,52,0,40,0,0,0,
Vic Beasley Jr.,9441,ED,CLEMSON,12,3,1,100.0,1,2,140,51.1,82.9,36.0,88.0,74.2,56.7,3,25,0,-5,24.0,6,0,4,79.2,1,10,84,0,7,530,446,0,0,204,242,0,84,295,228,0,24,16,1,38,0,-5,3,-5.0
Trae Waynes,9444,CB,MICH STATE,12,2,0,49.1,0,0,223,80.5,78.8,86.2,52.8,63.0,69.5,0,1,3,64,12.8,6,3,4,55.2,26,1,70,573,398,663,0,0,0,0,0,0,663,15,250,20,16,39,53,2,1,376,161,14.5
Danny Shelton,9445,DI,WASHINGTON,13,19,0,,0,0,340,78.9,86.1,63.5,67.8,89.7,90.8,11,26,0,,3.8,3,0,2,0.0,0,10,16,0,3,843,827,347,21,14,445,0,16,513,327,0,49,58,0,47,0,0,0,
Kevin Johnson,9449,CB,WAKE,12,5,0,59.6,0,0,339,73.3,70.9,0.0,61.8,64.6,53.2,0,2,1,42,19.6,10,3,4,74.6,31,0,128,599,355,736,0,0,0,0,0,2,736,6,375,7,14,36,52,2,1,305,120,9.8
Arik Armstead,9450,DI,OREGON,10,3,0,0.0,0,1,264,72.1,72.4,56.5,57.1,81.9,74.8,0,13,0,,4.3,1,0,1,39.6,0,3,9,0,5,406,397,20,1,33,343,0,9,250,151,0,13,19,1,16,0,0,0,
Marcus Peters,9451,CB,WASHINGTON,8,1,0,51.9,0,0,340,76.3,79.3,41.4,72.9,85.9,51.6,1,0,3,66,21.6,8,2,4,75.6,27,0,27,554,332,587,0,0,0,0,0,3,587,7,248,3,10,28,52,1,4,358,183,13.3
Bud Dupree,9455,ED,KENTUCKY,12,10,1,66.7,0,2,202,81.7,82.0,41.1,80.1,76.3,73.5,8,19,1,23,12.7,8,0,3,40.3,6,8,286,0,76,773,469,0,0,393,76,0,304,312,385,18,38,45,9,35,0,48,51,8.0
Shane Ray,9456,ED,MISSOURI,12,4,1,,0,2,229,67.7,86.1,0.0,90.6,76.0,86.1,8,18,0,,8.3,4,0,9,0.0,0,15,1,0,6,659,658,0,28,3,627,0,1,382,271,0,44,40,0,41,0,0,0,
