player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jaylan Foster,13095,S,S CAROLINA,12,16,0,65.4,0,2,289,71.7,71.2,52.3,85.2,65.2,62.3,1,1,5,61,17.4,19,2,1,107.2,17,2,282,3,341,741,7,0,0,7,0,313,734,8,392,136,25,74,26,4,5,316,148,18.6
Mark Williams,21922,CB,LA MONROE,7,2,0,81.8,0,1,209,70.1,69.6,82.8,55.6,62.8,43.9,0,0,1,55,24.2,8,2,1,95.3,18,0,12,288,196,303,3,0,0,3,0,0,300,2,105,0,9,23,22,0,1,171,62,9.5
Devin Taylor,22317,CB,BOWL GREEN,12,7,0,46.7,0,1,122,70.0,69.5,24.9,53.0,72.9,65.4,1,2,2,83,14.6,7,9,7,60.1,21,0,39,729,357,803,22,0,0,22,0,2,781,8,438,11,14,34,45,3,1,327,133,15.6
Cortez Davis,22974,CB,HAWAII,13,9,0,52.1,0,2,180,64.7,63.9,88.3,64.1,55.2,58.6,1,2,1,44,15.5,9,15,5,79.9,49,1,64,905,575,1043,39,0,0,39,0,1,1004,17,451,33,11,40,94,4,4,556,252,11.3
Dru Prox,23093,LB,UTSA,9,2,0,57.1,0,1,331,53.4,66.4,76.7,86.8,67.8,76.6,2,3,0,40,5.9,1,1,0,132.7,4,1,142,0,67,145,0,0,0,0,0,0,145,11,67,3,9,14,7,6,1,73,41,18.3
Reggie Stubblefield,23441,S,KANSAS ST,11,5,1,80.6,0,0,199,57.4,65.3,45.7,63.9,80.1,55.2,0,6,0,21,18.4,9,1,2,97.9,29,1,176,2,238,469,50,0,0,50,0,2,419,48,183,239,23,35,36,7,1,190,158,6.6
Mikel Horton,23509,DI,CHARLOTTE,7,5,0,,1,0,136,60.0,71.4,56.2,73.1,67.9,69.8,3,10,0,,4.2,1,0,1,0.0,0,1,0,0,0,302,302,65,235,0,2,0,0,155,147,0,15,18,0,14,0,0,0,
Colby Burton,23898,CB,HAWAII,6,0,0,100.0,0,0,180,60.0,62.6,79.6,57.2,72.4,83.5,0,0,0,22,0.0,0,0,1,109.7,6,0,4,94,58,116,0,0,0,0,0,0,116,2,56,18,3,8,6,0,0,62,18,10.3
Darion Dunn,23963,CB,TEXAS,11,4,0,56.0,0,1,311,75.0,74.0,15.8,56.3,71.7,69.7,0,0,0,52,12.0,3,2,1,89.6,14,0,22,284,171,314,5,0,0,5,0,0,309,6,137,3,4,18,25,0,1,165,40,11.8
Darren Evans,24171,CB,LSU,11,1,0,70.0,0,0,211,60.3,59.9,83.8,70.5,52.4,53.1,0,2,0,24,22.7,5,2,1,125.3,21,0,28,327,220,408,2,0,0,2,0,10,406,3,185,41,2,16,30,2,3,227,98,10.8
Alvinoski LaFleur,24504,S,E MICHIGAN,10,5,0,61.9,0,0,160,53.7,57.7,85.5,78.0,59.9,47.8,0,1,0,44,21.8,12,0,0,83.6,13,2,288,8,263,502,3,0,0,3,0,71,499,6,233,132,15,38,21,3,0,151,63,11.6
Luc Bequette,25776,DI,CAL,11,10,5,,0,0,130,55.3,52.8,83.8,66.2,44.5,47.8,3,10,0,,18.2,8,0,0,0.0,0,3,1,0,8,537,536,25,421,1,89,0,1,294,235,0,19,26,0,16,0,0,0,
Jeremiah Moon,26453,LB,FLORIDA,10,7,0,62.5,0,1,163,57.1,63.5,88.2,68.5,62.2,74.9,1,12,0,32,11.8,6,0,0,81.3,5,2,198,2,130,416,192,0,2,190,0,0,224,92,194,24,22,38,8,15,0,52,43,10.4
Demario McCall,28012,CB,OHIO STATE,5,3,0,50.0,0,0,260,69.9,71.1,77.8,,70.2,82.5,0,0,0,10,0.0,0,1,0,56.3,3,0,5,67,45,78,0,0,0,0,0,1,78,0,33,4,2,4,6,0,0,14,8,4.7
Brenden Schooler,28253,S,TEXAS,11,7,0,61.1,0,1,311,75.9,69.7,23.7,77.0,53.7,69.2,0,0,0,20,14.0,7,1,1,76.9,11,1,72,6,184,375,4,0,0,4,0,234,371,2,189,59,9,36,18,1,0,103,41,9.4
Richard Moore,28853,LB,SMU,11,9,0,81.8,0,0,287,56.5,57.4,0.0,77.3,55.0,49.3,12,5,0,46,21.1,8,0,4,158.3,9,1,343,0,165,354,2,0,0,2,0,0,352,52,137,9,19,21,11,18,2,183,156,20.3
Jack Jones,29050,CB,ARIZONA ST,11,4,0,66.0,0,3,110,78.8,79.4,46.5,92.5,69.0,59.7,0,0,3,44,14.8,8,5,2,86.3,33,1,40,577,351,661,2,0,0,2,0,2,659,1,309,40,14,42,50,1,3,410,108,12.4
Adeeb Atariwa,30482,ED,VIRGINIA,2,2,0,,0,0,335,,68.5,76.2,63.1,67.7,53.7,0,1,0,,20.0,1,0,0,0.0,0,0,0,0,0,38,38,0,14,15,9,0,0,16,22,0,2,2,0,1,0,0,0,
Marshaun Cameron,30624,CB,COLO STATE,12,9,0,55.1,0,0,144,47.1,52.0,46.7,64.2,71.7,85.1,0,2,1,93,4.4,2,3,9,121.2,27,0,71,540,305,630,8,0,0,8,0,1,622,4,321,9,10,34,49,2,10,495,162,18.3
Brian Cavicante,33444,LB,MARSHALL,8,11,0,75.0,0,0,214,42.3,63.8,81.6,77.8,76.1,65.7,0,2,0,23,13.0,3,0,1,104.2,3,1,150,0,63,155,2,0,0,2,0,0,153,11,81,3,5,9,4,3,0,38,30,12.7
Brock Nichols,33753,S,USF,8,1,0,28.6,0,0,327,71.0,70.9,80.5,60.0,68.2,84.9,0,0,1,5,0.0,0,0,0,0.0,2,0,65,3,79,153,0,0,0,0,0,58,153,1,73,27,3,6,7,0,0,9,3,4.5
Meiko Dotson,33902,CB,FLORIDA ST,6,0,0,63.6,0,1,167,63.5,63.0,79.8,55.2,61.1,71.2,0,0,0,59,8.3,1,0,0,133.9,7,0,6,127,66,141,0,0,0,0,0,3,141,2,73,5,4,11,11,0,1,128,38,18.3
Denzel Feaster,34561,LB,UTSA,12,8,0,66.7,0,1,331,43.4,56.3,80.2,53.8,70.0,56.0,0,0,0,16,17.6,6,0,0,88.2,4,0,219,0,111,226,0,0,0,0,0,0,226,8,107,7,11,20,6,0,0,44,11,11.0
Ferrod Gardner,34595,LB,LA LAFAYET,10,13,0,67.6,0,0,207,44.4,63.1,45.7,68.4,76.4,59.1,2,12,1,30,18.1,13,4,1,78.4,23,3,454,0,229,524,7,0,0,7,0,0,517,51,244,63,32,46,34,17,0,263,155,11.4
John Petrishen,35069,LB,PITTSBURGH,12,18,0,87.0,0,0,268,66.7,70.4,79.3,67.6,75.0,68.4,1,2,3,71,15.3,9,0,0,68.6,20,5,263,0,243,451,4,0,0,4,0,1,447,50,158,183,19,32,23,8,0,229,256,11.5
Cristian Williams,36151,S,TULSA,8,11,1,47.1,0,0,320,54.6,57.6,85.4,61.3,63.2,32.9,0,0,0,45,29.2,14,2,0,78.3,8,0,83,3,246,419,4,0,0,4,0,263,415,6,167,66,8,23,17,0,0,151,91,18.9
Scott Patchan,36449,ED,COLO STATE,12,10,2,,0,4,144,73.0,85.2,43.6,91.3,70.0,53.6,6,33,0,,17.5,10,0,4,0.0,0,11,0,0,27,797,796,0,21,751,24,0,1,361,409,0,36,37,0,50,0,0,0,
Elijah Taylor,36723,ED,TULSA,11,3,0,,0,1,320,59.8,67.5,6.2,58.7,79.1,70.6,0,4,0,,8.7,2,0,3,0.0,0,2,0,0,0,245,245,0,94,122,29,0,0,133,112,0,19,18,0,6,0,0,0,
Thad Mangum,36819,DI,USF,12,7,0,,0,0,327,61.0,49.8,67.0,56.9,46.1,25.4,2,10,0,,31.0,13,0,1,0.0,0,0,0,0,2,545,545,21,219,61,244,0,0,267,276,0,15,22,0,12,0,0,0,
Micah Dew-Treadway,37050,DI,MINNESOTA,12,8,1,,0,0,225,61.1,61.0,60.7,59.7,61.5,59.0,0,4,0,,11.8,2,0,2,0.0,0,0,0,0,0,335,335,123,212,0,0,0,0,168,167,0,4,7,0,4,0,0,0,
Tony Fair,37101,DI,AUBURN,11,5,0,,0,0,115,60.0,67.1,44.3,60.8,68.9,31.6,2,1,0,,20.0,2,0,1,0.0,0,1,1,0,0,204,203,78,125,0,0,0,1,100,104,0,4,3,0,4,0,0,0,
Cameron Goode,38410,ED,CAL,11,17,5,50.0,0,0,130,73.8,74.4,49.3,77.7,64.9,59.2,10,20,0,6,21.0,13,0,3,56.3,1,8,14,0,47,697,658,0,3,644,11,0,39,376,274,25,27,32,2,38,0,6,2,6.0
Josh Drayden,38498,CB,CAL,12,16,0,66.7,1,0,130,62.4,67.3,59.8,66.5,83.0,62.6,0,3,0,26,15.9,11,2,4,99.0,32,0,125,114,474,834,15,0,0,15,0,8,819,16,344,572,12,42,48,3,2,316,113,9.9
Viane Moala,38501,DI,UTAH,3,1,1,,0,0,328,,61.8,80.2,74.4,51.9,49.8,0,9,0,,20.0,1,0,0,0.0,0,0,0,0,0,132,132,20,111,0,1,0,0,59,73,0,3,3,0,9,0,0,0,
Demetris Robertson,38547,WR,AUBURN,2,0,0,,0,0,115,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
De'Vante Cross,39851,CB,VIRGINIA,8,2,0,57.6,0,0,335,47.2,49.3,87.9,60.0,54.0,47.2,0,0,1,92,14.7,5,4,0,110.8,19,0,126,16,275,535,10,0,0,10,0,55,525,2,258,328,4,27,33,0,3,341,142,17.9
Jordan Carmouche,39951,LB,HOUSTON,8,4,0,66.7,0,0,182,58.9,62.9,78.3,,66.4,55.7,0,0,0,13,15.4,2,1,0,79.9,6,0,105,0,64,112,0,0,0,0,0,0,112,0,48,6,3,7,9,0,0,48,31,8.0
Derrion Rakestraw,39968,S,TULANE,11,6,0,81.8,0,0,319,64.3,66.8,83.8,63.9,69.3,70.6,1,1,1,14,12.2,5,0,0,93.8,9,0,91,2,159,290,1,0,0,1,0,166,289,3,128,30,10,30,11,2,3,67,35,7.4
Tyrell Alexander,39986,WR,VANDERBILT,1,0,0,,0,0,333,,60.1,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Brandon Martin,40066,LB,BALL ST,5,2,0,69.2,0,0,117,61.2,46.5,7.0,68.3,34.7,49.2,1,1,1,9,17.9,5,0,1,46.3,9,0,191,0,97,203,7,0,0,7,0,0,196,7,99,5,6,21,13,2,0,58,31,6.4
